Date,Open,High,Low,Close,Adj Close,Volume
2017-11-12,238.618439,241.910873,226.351990,234.685974,234.685974,1229786536
2017-11-13,234.012955,250.373566,233.995117,241.417801,241.417801,794183995
2017-11-14,241.453613,259.439453,241.472031,256.617004,256.617004,813012084
2017-11-15,256.870087,259.169830,250.541626,253.080017,253.080017,548638007
2017-11-16,253.145309,254.781723,245.434952,250.738007,250.738007,604071841
2017-11-17,250.164413,253.837524,247.187180,251.603973,251.603973,470617661
2017-11-18,251.290604,264.640076,248.041031,263.123169,263.123169,491740955
2017-11-19,262.963440,281.046844,260.949188,268.514923,268.514923,895234114
2017-11-20,268.293671,281.176422,267.622894,276.965485,276.965485,609490981
2017-11-21,277.503967,281.343018,264.773865,272.082886,272.082886,717131209
2017-11-22,272.015717,286.458893,272.014343,285.903564,285.903564,601486411
2017-11-23,286.494659,319.888763,282.327148,308.325928,308.325928,1387416372
2017-11-24,310.081177,360.684662,302.825562,356.138733,356.138733,1719407538
2017-11-25,356.712402,363.848511,345.746552,349.663300,349.663300,1066426696
2017-11-26,349.436829,354.843872,338.662170,353.798218,353.798218,899099210
2017-11-27,353.949097,370.618958,351.056580,360.626892,360.626892,1048408408
2017-11-28,360.749268,362.140656,351.244232,353.889099,353.889099,1007632992
2017-11-29,354.172729,390.247314,316.909729,318.714050,318.714050,1994886011
2017-11-30,321.466370,345.657532,298.166748,330.510071,330.510071,1406741573
2017-12-01,329.101868,350.886475,316.611481,346.354858,346.354858,926414206
2017-12-02,346.585754,353.555328,339.014862,344.060150,344.060150,700556780
2017-12-03,344.250183,359.370300,336.174377,345.357697,345.357697,734344274
2017-12-04,345.506683,353.361877,335.190765,349.023163,349.023163,746399952
2017-12-05,349.089966,353.771118,340.318268,345.422760,345.422760,907187593
2017-12-06,344.917999,344.995544,314.105255,320.080658,320.080658,1492352477
2017-12-07,318.423431,329.917786,309.238861,322.213318,322.213318,1579565381
2017-12-08,322.644287,347.937286,313.537964,340.753937,340.753937,1745781890
2017-12-09,341.735046,376.707031,340.919830,353.808563,353.808563,1497310008
2017-12-10,353.275787,353.275787,320.940002,329.888733,329.888733,1048678094
2017-12-11,328.870789,387.358765,327.909790,385.956390,385.956390,1327219599
2017-12-12,391.313416,493.519043,378.153046,489.135773,489.135773,3889345066
2017-12-13,484.236389,559.539917,448.797272,524.140076,524.140076,3374507684
2017-12-14,522.519409,560.566406,496.223419,518.067139,518.067139,2845342887
2017-12-15,518.484070,523.097473,462.098938,513.888428,513.888428,2071259115
2017-12-16,515.197876,539.368591,511.138977,522.718689,522.718689,1626015550
2017-12-17,522.739685,552.711670,522.739685,540.724731,540.724731,1612760009
2017-12-18,542.044312,600.843018,517.207703,593.993896,593.993896,2428786126
2017-12-19,593.437744,659.594604,587.215454,617.769714,617.769714,3060781446
2017-12-20,618.287476,630.361023,564.434814,612.675598,612.675598,2969511532
2017-12-21,613.535828,659.089111,593.685608,613.832947,613.832947,2668256650
2017-12-22,615.014221,618.735901,406.490265,505.286011,505.286011,3726946750
2017-12-23,510.119781,571.948975,508.933075,538.624634,538.624634,1857097909
2017-12-24,540.408020,540.408020,460.408813,519.532959,519.532959,1721839598
2017-12-25,523.067139,585.587830,523.028015,572.628967,572.628967,1863137526
2017-12-26,570.786621,588.342163,569.051025,578.612244,578.612244,1645850109
2017-12-27,579.460144,589.963379,551.054504,569.242554,569.242554,1567069585
2017-12-28,568.769470,569.556030,521.638916,548.461853,548.461853,1777905902
2017-12-29,550.966675,569.697449,540.490356,557.720520,557.720520,1960457359
2017-12-30,557.885559,557.885559,507.127747,530.829651,530.829651,2359221503
2017-12-31,527.095886,563.304199,525.546936,560.625977,560.625977,1892332161
2018-01-01,559.902954,578.965698,549.999268,571.987732,571.987732,1921646526
2018-01-02,571.769348,677.150269,571.726990,650.661377,650.661377,4254652953
2018-01-03,651.806091,721.296082,639.507385,712.650818,712.650818,3770197598
2018-01-04,711.905396,771.333618,698.888977,723.927673,723.927673,4799158506
2018-01-05,720.110718,792.768188,704.942505,735.347839,735.347839,4925670566
2018-01-06,733.456665,781.773254,733.064575,767.747681,767.747681,3436187924
2018-01-07,768.727905,849.543274,768.727905,849.543274,849.543274,4103344676
2018-01-08,853.293091,934.314209,749.963074,846.499146,846.499146,6228604150
2018-01-09,844.634460,975.612976,844.320801,960.706604,960.706604,5887693080
2018-01-10,961.150085,1047.505737,907.785645,929.479614,929.479614,6820331877
2018-01-11,938.561157,989.932678,838.382629,853.039429,853.039429,5344486227
2018-01-12,855.521118,952.270447,826.207825,927.244873,927.244873,3803291937
2018-01-13,925.256714,1043.536499,925.256714,1016.983521,1016.983521,4185245205
2018-01-14,1017.755432,1019.998596,936.719788,995.390015,995.390015,3526057976
2018-01-15,994.253845,1012.295227,935.827698,936.581177,936.581177,3466072228
2018-01-16,937.095825,937.639648,634.912964,763.654114,763.654114,6091563971
2018-01-17,769.198425,789.621216,564.862183,733.687805,733.687805,6181394814
2018-01-18,735.271973,795.826721,700.209106,746.008240,746.008240,4274940516
2018-01-19,740.637756,788.360840,721.678162,749.873718,749.873718,2947571659
2018-01-20,754.095398,842.252991,754.095398,833.622009,833.622009,2868723400
2018-01-21,834.004517,834.004517,735.209473,755.637146,755.637146,2432030226
2018-01-22,759.791199,778.985779,668.299744,717.485535,717.485535,2724808673
2018-01-23,718.136292,730.774170,658.139709,703.946472,703.946472,2538686583
2018-01-24,704.837280,757.424927,688.338684,744.623413,744.623413,2773781514
2018-01-25,747.745972,772.976013,723.594421,746.363708,746.363708,2862527443
2018-01-26,744.010132,758.315796,699.743042,744.808411,744.808411,2553603523
2018-01-27,745.217773,791.967224,735.596802,781.442749,781.442749,2119623078
2018-01-28,784.767456,887.816772,784.767456,880.572449,880.572449,3796699635
